turbine_id,valid_time,wind_speed_10m_previous_day1,wind_speed_10m_previous_day2,wind_speed_100m_previous_day1,wind_speed_100m_previous_day2,temperature_2m_previous_day1,temperature_2m_previous_day2
turbine_2,2026-02-01 10:00:00+00:00,6.07,6.6,10.18,10.7,5.0,5.6
turbine_2,2026-02-01 11:00:00+00:00,5.59,6.44,10.38,10.73,3.3,4.2
turbine_2,2026-02-01 12:00:00+00:00,4.13,5.33,9.26,10.79,1.7,2.2
turbine_2,2026-02-01 13:00:00+00:00,4.16,4.08,9.75,10.25,1.2,1.0
turbine_2,2026-02-01 14:00:00+00:00,3.89,3.58,9.39,10.11,1.2,0.7
turbine_2,2026-02-01 15:00:00+00:00,4.1,3.49,9.48,10.38,0.9,0.5
turbine_2,2026-02-01 16:00:00+00:00,4.11,3.81,9.45,10.91,1.1,0.3
turbine_2,2026-02-01 17:00:00+00:00,3.94,3.92,9.79,11.0,0.3,0.4
turbine_2,2026-02-01 18:00:00+00:00,3.85,3.64,9.97,10.69,0.3,0.1
turbine_2,2026-02-01 19:00:00+00:00,4.39,3.73,10.42,11.0,-0.0,0.1
turbine_2,2026-02-01 20:00:00+00:00,4.57,4.05,11.05,11.23,-0.2,-0.1
turbine_2,2026-02-01 21:00:00+00:00,4.99,4.31,11.36,11.27,-0.4,-0.6
turbine_2,2026-02-01 22:00:00+00:00,5.25,4.35,11.72,11.54,-0.5,-1.0
turbine_2,2026-02-01 23:00:00+00:00,5.46,4.3,12.03,11.9,-0.6,-1.2
turbine_2,2026-02-02 00:00:00+00:00,5.59,4.38,12.43,11.68,-0.6,-1.8
turbine_2,2026-02-02 01:00:00+00:00,5.69,4.7,12.71,11.9,-0.7,-1.9
turbine_2,2026-02-02 02:00:00+00:00,5.63,4.61,12.89,12.12,-1.1,-2.0
turbine_2,2026-02-02 03:00:00+00:00,5.92,4.7,13.78,12.34,0.1,-0.9
turbine_2,2026-02-02 04:00:00+00:00,6.31,6.19,13.43,12.27,2.1,1.7
turbine_2,2026-02-02 05:00:00+00:00,7.91,7.66,14.32,13.6,4.1,3.9
turbine_2,2026-02-02 06:00:00+00:00,7.84,7.8,13.87,13.91,6.4,5.4
turbine_2,2026-02-02 07:00:00+00:00,8.72,8.24,14.59,14.18,7.5,6.8
turbine_2,2026-02-02 08:00:00+00:00,8.68,9.02,14.79,14.72,8.0,7.3
turbine_2,2026-02-02 09:00:00+00:00,8.68,8.8,14.52,14.58,7.9,7.3
turbine_2,2026-02-02 10:00:00+00:00,7.98,8.25,13.15,14.19,7.0,6.2
turbine_2,2026-02-02 11:00:00+00:00,6.32,7.07,11.29,13.51,5.1,4.6
turbine_2,2026-02-02 12:00:00+00:00,3.76,3.64,10.2,10.16,2.4,2.4
turbine_2,2026-02-02 13:00:00+00:00,1.82,2.01,8.36,8.01,1.8,1.2
turbine_2,2026-02-02 14:00:00+00:00,2.42,2.28,7.47,6.84,2.0,1.0
turbine_2,2026-02-02 15:00:00+00:00,2.24,2.56,6.85,6.99,2.2,1.1
turbine_2,2026-02-02 16:00:00+00:00,2.86,2.88,7.13,6.99,1.9,1.3
turbine_2,2026-02-02 17:00:00+00:00,3.01,3.1,7.24,7.3,1.3,1.3
turbine_2,2026-02-02 18:00:00+00:00,2.28,2.82,6.95,6.32,0.3,1.8
turbine_2,2026-02-02 19:00:00+00:00,3.01,3.32,7.49,7.67,0.9,1.9
turbine_2,2026-02-02 20:00:00+00:00,3.98,3.67,8.89,9.44,1.2,2.0
turbine_2,2026-02-02 21:00:00+00:00,3.89,4.11,10.23,11.0,1.3,1.8
turbine_2,2026-02-02 22:00:00+00:00,3.94,3.67,11.14,10.8,0.9,1.2
turbine_2,2026-02-02 23:00:00+00:00,4.25,4.48,12.04,11.64,0.2,0.8
turbine_2,2026-02-03 00:00:00+00:00,3.64,4.74,10.53,11.68,-0.3,0.3
turbine_2,2026-02-03 01:00:00+00:00,2.56,4.64,9.35,11.46,-0.9,-0.4
turbine_2,2026-02-03 02:00:00+00:00,2.05,4.19,8.1,10.61,-1.4,-0.9
turbine_2,2026-02-03 03:00:00+00:00,2.24,3.4,7.38,9.32,-0.6,-0.2
turbine_2,2026-02-03 04:00:00+00:00,3.1,3.61,6.74,7.96,1.8,1.6
turbine_2,2026-02-03 05:00:00+00:00,3.0,3.83,6.2,7.38,4.0,3.5
turbine_2,2026-02-03 06:00:00+00:00,2.95,4.66,7.16,8.32,5.0,5.5
turbine_2,2026-02-03 07:00:00+00:00,2.75,4.08,6.39,7.62,6.6,7.0
turbine_2,2026-02-03 08:00:00+00:00,2.61,3.42,5.8,6.71,7.1,7.6
turbine_2,2026-02-03 09:00:00+00:00,1.97,2.58,4.96,5.97,7.2,7.8
turbine_2,2026-02-03 10:00:00+00:00,0.78,1.53,3.61,4.98,6.8,7.7
turbine_2,2026-02-03 11:00:00+00:00,0.89,1.35,2.14,4.56,5.3,6.2
turbine_2,2026-02-03 12:00:00+00:00,3.12,1.06,2.28,1.5,4.7,3.4
turbine_2,2026-02-03 13:00:00+00:00,3.96,2.04,4.27,1.35,4.7,3.5
turbine_2,2026-02-03 14:00:00+00:00,4.11,2.15,6.8,1.12,4.3,3.3
turbine_2,2026-02-03 15:00:00+00:00,4.31,2.48,7.62,1.48,4.5,3.6
turbine_2,2026-02-03 16:00:00+00:00,4.86,2.76,8.13,2.46,4.3,3.6
turbine_2,2026-02-03 17:00:00+00:00,4.88,2.48,8.2,2.67,3.8,3.6
turbine_2,2026-02-03 18:00:00+00:00,3.82,3.13,7.06,4.24,2.9,3.6
turbine_2,2026-02-03 19:00:00+00:00,3.61,3.62,6.64,5.02,3.3,3.1
turbine_2,2026-02-03 20:00:00+00:00,3.38,2.69,5.7,4.28,4.0,3.0
turbine_2,2026-02-03 21:00:00+00:00,2.7,2.73,5.07,4.3,4.1,2.9
turbine_2,2026-02-03 22:00:00+00:00,3.05,3.22,5.63,5.68,3.9,2.8
turbine_2,2026-02-03 23:00:00+00:00,3.42,3.05,5.92,5.46,3.7,2.7
turbine_2,2026-02-04 00:00:00+00:00,5.16,3.55,8.64,6.11,2.8,1.6
turbine_2,2026-02-04 01:00:00+00:00,3.83,3.96,6.95,6.98,2.7,1.6
turbine_2,2026-02-04 02:00:00+00:00,3.32,4.8,5.24,7.42,2.8,1.3
turbine_2,2026-02-04 03:00:00+00:00,2.47,5.19,4.08,7.5,3.2,1.2
turbine_2,2026-02-04 04:00:00+00:00,2.47,5.5,3.73,7.72,3.6,1.4
turbine_2,2026-02-04 05:00:00+00:00,2.6,4.88,2.11,7.53,3.5,2.0
turbine_2,2026-02-04 06:00:00+00:00,1.91,3.96,3.05,6.16,3.5,3.6
turbine_2,2026-02-04 07:00:00+00:00,2.08,3.55,2.56,5.1,3.7,3.9
turbine_2,2026-02-04 08:00:00+00:00,2.22,3.55,2.19,4.83,4.1,3.9
turbine_2,2026-02-04 09:00:00+00:00,1.97,3.69,1.92,5.23,4.9,4.7
turbine_2,2026-02-04 10:00:00+00:00,2.1,3.58,1.8,5.42,5.4,5.3
turbine_2,2026-02-04 11:00:00+00:00,1.56,3.28,0.63,5.08,5.5,4.8
turbine_2,2026-02-04 12:00:00+00:00,2.47,1.9,5.46,2.92,4.4,4.3
turbine_2,2026-02-04 13:00:00+00:00,3.8,2.39,9.1,5.68,2.2,2.9
turbine_2,2026-02-04 14:00:00+00:00,4.78,2.52,10.37,6.69,1.8,2.3
turbine_2,2026-02-04 15:00:00+00:00,5.42,3.45,10.76,7.94,1.2,1.9
turbine_2,2026-02-04 16:00:00+00:00,5.41,4.79,11.19,9.55,0.8,1.2
turbine_2,2026-02-04 17:00:00+00:00,5.64,4.97,11.82,10.49,0.8,0.8
turbine_2,2026-02-04 18:00:00+00:00,5.69,5.99,12.31,10.6,0.7,0.4
turbine_2,2026-02-04 19:00:00+00:00,5.63,5.55,13.03,11.67,0.6,0.5
turbine_2,2026-02-04 20:00:00+00:00,5.85,6.13,14.18,12.71,0.5,0.5
turbine_2,2026-02-04 21:00:00+00:00,6.39,6.13,14.95,13.6,0.3,0.6
turbine_2,2026-02-04 22:00:00+00:00,6.51,6.39,15.35,14.32,0.2,0.4
turbine_2,2026-02-04 23:00:00+00:00,6.87,6.45,15.95,14.64,0.3,0.3
turbine_2,2026-02-05 00:00:00+00:00,6.79,6.55,16.05,15.34,0.2,0.3
turbine_2,2026-02-05 01:00:00+00:00,7.09,6.69,16.64,15.97,0.3,0.3
turbine_2,2026-02-05 02:00:00+00:00,6.73,7.28,16.97,16.66,0.4,0.2
turbine_2,2026-02-05 03:00:00+00:00,6.77,7.69,16.54,17.08,1.4,1.1
turbine_2,2026-02-05 04:00:00+00:00,7.53,8.02,15.92,16.9,3.3,2.9
turbine_2,2026-02-05 05:00:00+00:00,7.78,7.94,15.33,17.05,4.4,4.2
turbine_2,2026-02-05 06:00:00+00:00,8.1,9.08,15.6,17.45,4.9,5.3
turbine_2,2026-02-05 07:00:00+00:00,7.68,9.2,15.28,17.73,5.4,6.0
turbine_2,2026-02-05 08:00:00+00:00,7.47,9.01,15.12,16.99,5.8,6.4
turbine_2,2026-02-05 09:00:00+00:00,7.38,8.22,15.14,16.28,6.1,6.6
turbine_2,2026-02-05 10:00:00+00:00,6.84,7.84,14.5,16.02,5.9,6.3
turbine_2,2026-02-05 11:00:00+00:00,6.36,6.89,13.48,14.87,4.7,5.2
turbine_2,2026-02-05 12:00:00+00:00,5.69,6.36,12.02,13.52,3.0,3.4
turbine_2,2026-02-05 13:00:00+00:00,4.88,5.91,11.77,12.7,2.1,2.8
turbine_2,2026-02-05 14:00:00+00:00,4.83,6.01,12.15,12.74,1.8,2.8
turbine_2,2026-02-05 15:00:00+00:00,4.3,5.6,11.5,12.41,1.7,2.4
turbine_2,2026-02-05 16:00:00+00:00,4.34,4.71,11.68,12.11,1.7,2.3
turbine_2,2026-02-05 17:00:00+00:00,4.0,3.92,11.18,11.36,1.9,2.0
turbine_2,2026-02-05 18:00:00+00:00,3.81,3.83,10.68,11.14,1.8,1.9
turbine_2,2026-02-05 19:00:00+00:00,3.57,3.64,10.57,10.87,1.7,1.7
turbine_2,2026-02-05 20:00:00+00:00,3.47,3.4,10.27,10.07,1.9,1.6
turbine_2,2026-02-05 21:00:00+00:00,3.13,2.91,10.2,9.26,1.7,1.7
turbine_2,2026-02-05 22:00:00+00:00,2.97,2.46,10.51,8.45,1.4,1.4
turbine_2,2026-02-05 23:00:00+00:00,2.55,1.97,9.71,7.22,1.2,1.1
turbine_2,2026-02-06 00:00:00+00:00,2.57,1.8,9.02,5.74,0.9,1.7
turbine_2,2026-02-06 01:00:00+00:00,2.12,1.7,7.88,3.91,1.0,1.9
turbine_2,2026-02-06 02:00:00+00:00,1.87,1.7,6.24,2.31,1.0,2.0
turbine_2,2026-02-06 03:00:00+00:00,1.28,2.2,4.46,0.92,1.9,3.3
turbine_2,2026-02-06 04:00:00+00:00,0.22,2.33,3.18,0.82,3.5,4.6
turbine_2,2026-02-06 05:00:00+00:00,2.73,2.12,1.44,0.22,4.3,5.9
turbine_2,2026-02-06 06:00:00+00:00,5.73,3.2,5.61,2.72,6.6,6.1
turbine_2,2026-02-06 07:00:00+00:00,7.21,3.41,8.9,4.6,7.7,5.7
turbine_2,2026-02-06 08:00:00+00:00,8.26,4.98,14.07,7.96,4.7,6.2
turbine_2,2026-02-06 09:00:00+00:00,8.21,8.71,14.08,13.66,3.9,5.6
turbine_2,2026-02-06 10:00:00+00:00,9.15,9.33,14.2,15.59,3.4,4.7
turbine_2,2026-02-06 11:00:00+00:00,8.82,8.79,15.65,14.84,3.4,3.7
turbine_2,2026-02-06 12:00:00+00:00,9.47,9.65,16.9,16.25,2.7,2.8
turbine_2,2026-02-06 13:00:00+00:00,9.7,9.33,16.69,15.62,2.3,2.7
turbine_2,2026-02-06 14:00:00+00:00,9.23,7.98,15.76,14.55,2.2,2.9
turbine_2,2026-02-06 15:00:00+00:00,8.83,7.5,15.41,13.53,2.2,2.9
turbine_2,2026-02-06 16:00:00+00:00,8.34,8.02,14.82,13.28,2.1,2.3
turbine_2,2026-02-06 17:00:00+00:00,7.38,7.57,12.73,13.14,1.9,1.7
turbine_2,2026-02-06 18:00:00+00:00,7.03,7.24,12.81,12.33,1.4,1.5
turbine_2,2026-02-06 19:00:00+00:00,6.9,7.25,12.46,12.76,1.0,1.7
turbine_2,2026-02-06 20:00:00+00:00,5.82,7.16,10.83,12.84,1.1,1.4
turbine_2,2026-02-06 21:00:00+00:00,4.1,5.16,8.41,10.57,0.9,1.3
turbine_2,2026-02-06 22:00:00+00:00,2.81,3.31,6.3,7.67,0.4,1.2
turbine_2,2026-02-06 23:00:00+00:00,1.97,2.33,4.4,5.18,0.1,1.0
turbine_2,2026-02-07 00:00:00+00:00,1.79,3.14,4.02,5.43,0.1,0.5
turbine_2,2026-02-07 01:00:00+00:00,1.57,1.63,2.78,3.26,0.3,0.3
turbine_2,2026-02-07 02:00:00+00:00,0.86,0.2,0.64,0.8,0.1,0.4
turbine_2,2026-02-07 03:00:00+00:00,2.28,2.15,2.64,2.12,0.7,0.7
turbine_2,2026-02-07 04:00:00+00:00,4.58,4.92,4.92,5.48,1.7,1.1
turbine_2,2026-02-07 05:00:00+00:00,6.36,6.85,8.7,8.36,2.8,1.9
turbine_2,2026-02-07 06:00:00+00:00,6.27,6.72,9.96,11.38,4.0,3.8
turbine_2,2026-02-07 07:00:00+00:00,5.52,6.0,8.98,10.12,4.4,3.9
turbine_2,2026-02-07 08:00:00+00:00,4.69,5.02,7.73,8.86,4.3,4.0
turbine_2,2026-02-07 09:00:00+00:00,3.06,3.99,5.7,7.79,4.8,4.7
turbine_2,2026-02-07 10:00:00+00:00,2.62,3.4,4.88,6.84,4.9,5.0
turbine_2,2026-02-07 11:00:00+00:00,2.69,3.67,4.44,6.43,4.4,4.5
turbine_2,2026-02-07 12:00:00+00:00,2.53,3.47,2.59,5.13,3.0,2.8
turbine_2,2026-02-07 13:00:00+00:00,3.26,1.94,5.12,3.33,1.2,2.1
turbine_2,2026-02-07 14:00:00+00:00,3.85,1.22,5.01,1.7,1.3,1.9
turbine_2,2026-02-07 15:00:00+00:00,4.62,3.0,5.79,4.62,0.9,1.4
turbine_2,2026-02-07 16:00:00+00:00,4.83,3.13,6.94,4.59,0.6,0.9
turbine_2,2026-02-07 17:00:00+00:00,5.14,3.67,8.46,4.9,0.5,0.9
turbine_2,2026-02-07 18:00:00+00:00,7.09,3.49,11.57,5.53,0.3,0.5
turbine_2,2026-02-07 19:00:00+00:00,8.0,3.93,13.82,6.58,0.5,0.2
turbine_2,2026-02-07 20:00:00+00:00,8.0,4.46,14.04,7.74,0.4,0.3
turbine_2,2026-02-07 21:00:00+00:00,7.69,5.43,13.51,9.34,0.1,0.5
turbine_2,2026-02-07 22:00:00+00:00,6.72,5.66,11.9,9.46,-0.1,0.2
turbine_2,2026-02-07 23:00:00+00:00,6.62,5.29,10.57,9.27,-0.9,0.5
turbine_2,2026-02-08 00:00:00+00:00,6.51,5.1,9.87,9.47,-1.2,0.1
turbine_2,2026-02-08 01:00:00+00:00,4.75,4.47,8.46,8.32,-1.3,-0.5
turbine_2,2026-02-08 02:00:00+00:00,4.22,5.26,7.51,8.14,-0.8,-0.6
turbine_2,2026-02-08 03:00:00+00:00,3.34,4.69,6.39,7.47,-0.1,0.5
turbine_2,2026-02-08 04:00:00+00:00,3.2,5.35,5.82,7.42,1.8,1.9
turbine_2,2026-02-08 05:00:00+00:00,3.01,4.9,4.8,6.67,2.6,2.9
turbine_2,2026-02-08 06:00:00+00:00,1.12,2.86,1.91,4.3,2.8,3.0
turbine_2,2026-02-08 07:00:00+00:00,1.36,2.06,1.26,3.04,3.7,3.4
turbine_2,2026-02-08 08:00:00+00:00,3.5,1.08,3.76,1.48,4.7,3.8
turbine_2,2026-02-08 09:00:00+00:00,5.86,2.25,7.46,1.58,5.1,4.6
turbine_2,2026-02-08 10:00:00+00:00,7.29,4.35,10.95,4.81,4.7,5.1
turbine_2,2026-02-08 11:00:00+00:00,7.87,6.08,14.3,9.4,4.2,4.8
turbine_2,2026-02-08 12:00:00+00:00,7.83,7.4,15.88,16.03,2.3,3.1
turbine_2,2026-02-08 13:00:00+00:00,6.99,7.18,15.66,16.42,1.1,1.6
turbine_2,2026-02-08 14:00:00+00:00,6.95,7.14,16.07,16.55,0.4,0.7
turbine_2,2026-02-08 15:00:00+00:00,7.38,7.16,16.29,16.92,0.0,0.3
turbine_2,2026-02-08 16:00:00+00:00,7.65,7.16,16.3,15.87,0.0,0.3
turbine_2,2026-02-08 17:00:00+00:00,7.65,7.58,16.01,16.06,-0.0,0.1
turbine_2,2026-02-08 18:00:00+00:00,8.26,7.54,17.12,15.63,-0.5,-0.1
turbine_2,2026-02-08 19:00:00+00:00,8.46,8.06,17.38,16.55,-0.6,-0.2
turbine_2,2026-02-08 20:00:00+00:00,8.34,8.67,17.61,17.51,-0.8,-0.5
turbine_2,2026-02-08 21:00:00+00:00,8.5,8.97,18.44,18.65,-1.4,-0.7
turbine_2,2026-02-08 22:00:00+00:00,8.22,8.97,18.66,19.14,-1.7,-1.1
turbine_2,2026-02-08 23:00:00+00:00,8.47,9.09,19.07,19.63,-1.7,-1.3
turbine_2,2026-02-09 00:00:00+00:00,8.46,9.37,18.76,20.07,-2.0,-1.4
turbine_2,2026-02-09 01:00:00+00:00,8.2,9.1,17.87,20.04,-2.2,-1.5
turbine_2,2026-02-09 02:00:00+00:00,8.2,9.02,17.92,20.08,-2.3,-1.6
turbine_2,2026-02-09 03:00:00+00:00,8.13,8.44,18.41,19.66,-1.2,-0.8
turbine_2,2026-02-09 04:00:00+00:00,8.43,9.18,18.41,19.58,1.0,1.1
turbine_2,2026-02-09 05:00:00+00:00,9.42,9.93,19.24,20.21,2.7,2.7
turbine_2,2026-02-09 06:00:00+00:00,9.68,9.52,19.5,20.21,3.6,4.5
turbine_2,2026-02-09 07:00:00+00:00,9.66,9.79,19.23,20.18,5.0,5.3
turbine_2,2026-02-09 08:00:00+00:00,9.24,9.51,18.53,18.98,5.5,6.0
turbine_2,2026-02-09 09:00:00+00:00,8.64,8.95,17.08,17.99,5.3,6.1
turbine_2,2026-02-09 10:00:00+00:00,7.69,6.93,16.82,15.47,5.5,5.4
turbine_2,2026-02-09 11:00:00+00:00,6.01,5.11,15.12,13.84,4.8,4.7
turbine_2,2026-02-09 12:00:00+00:00,4.11,4.88,10.75,10.7,2.5,3.2
turbine_2,2026-02-09 13:00:00+00:00,2.65,2.56,8.95,8.11,1.1,1.8
turbine_2,2026-02-09 14:00:00+00:00,2.43,2.43,7.26,6.44,1.0,1.8
turbine_2,2026-02-09 15:00:00+00:00,2.93,2.3,6.4,5.66,1.2,2.2
turbine_2,2026-02-09 16:00:00+00:00,2.63,2.1,5.94,5.58,1.6,2.1
turbine_2,2026-02-09 17:00:00+00:00,2.44,1.9,5.32,5.04,2.1,2.5
turbine_2,2026-02-09 18:00:00+00:00,2.25,1.4,4.91,4.37,1.9,1.9
turbine_2,2026-02-09 19:00:00+00:00,1.84,1.9,4.12,4.34,2.2,2.2
turbine_2,2026-02-09 20:00:00+00:00,1.49,1.91,4.14,4.59,2.1,2.7
turbine_2,2026-02-09 21:00:00+00:00,2.56,1.68,5.68,4.87,2.3,2.7
turbine_2,2026-02-09 22:00:00+00:00,2.78,3.1,5.69,7.57,2.1,2.6
turbine_2,2026-02-09 23:00:00+00:00,3.6,2.47,8.42,7.65,1.9,1.7
turbine_2,2026-02-10 00:00:00+00:00,3.8,3.44,8.98,9.44,2.4,1.2
turbine_2,2026-02-10 01:00:00+00:00,3.16,3.58,9.9,10.29,1.5,1.0
turbine_2,2026-02-10 02:00:00+00:00,4.41,3.33,10.42,10.07,-0.1,-0.2
turbine_2,2026-02-10 03:00:00+00:00,4.39,3.42,10.29,9.02,0.3,1.0
turbine_2,2026-02-10 04:00:00+00:00,3.54,4.31,8.44,8.44,1.8,1.8
turbine_2,2026-02-10 05:00:00+00:00,5.51,5.96,10.78,8.91,3.0,2.8
turbine_2,2026-02-10 06:00:00+00:00,6.57,5.59,10.15,8.51,4.5,4.8
turbine_2,2026-02-10 07:00:00+00:00,5.69,4.79,8.63,8.49,6.0,6.3
turbine_2,2026-02-10 08:00:00+00:00,3.1,4.82,4.91,7.07,6.2,7.1
turbine_2,2026-02-10 09:00:00+00:00,0.14,3.22,2.16,6.04,6.0,7.2
turbine_2,2026-02-10 10:00:00+00:00,2.15,2.26,2.62,4.87,6.5,7.1
turbine_2,2026-02-10 11:00:00+00:00,1.75,1.61,2.41,4.16,6.0,6.4
turbine_2,2026-02-10 12:00:00+00:00,0.92,2.73,1.63,4.61,4.6,5.2
turbine_2,2026-02-10 13:00:00+00:00,2.92,3.01,4.0,5.81,4.8,4.4
turbine_2,2026-02-10 14:00:00+00:00,3.49,3.6,6.21,7.94,4.5,4.2
turbine_2,2026-02-10 15:00:00+00:00,3.52,3.64,8.77,9.26,4.2,3.7
turbine_2,2026-02-10 16:00:00+00:00,4.18,4.96,10.87,10.67,3.2,2.6
turbine_2,2026-02-10 17:00:00+00:00,5.07,5.03,12.39,11.69,2.9,2.1
turbine_2,2026-02-10 18:00:00+00:00,5.0,4.7,13.69,11.63,2.6,2.3
turbine_2,2026-02-10 19:00:00+00:00,5.76,5.48,15.07,13.25,2.4,2.3
turbine_2,2026-02-10 20:00:00+00:00,6.55,5.87,15.57,15.12,2.2,2.2
turbine_2,2026-02-10 21:00:00+00:00,6.96,6.91,15.29,15.97,1.7,1.7
turbine_2,2026-02-10 22:00:00+00:00,6.85,7.52,14.05,15.88,0.7,1.3
turbine_2,2026-02-10 23:00:00+00:00,5.42,6.71,12.0,14.98,1.1,0.7
turbine_2,2026-02-11 00:00:00+00:00,2.04,5.46,8.55,13.07,1.5,0.6
turbine_2,2026-02-11 01:00:00+00:00,1.04,2.08,5.95,8.99,0.4,1.0
turbine_2,2026-02-11 02:00:00+00:00,2.3,1.03,6.43,4.96,1.2,-0.7
turbine_2,2026-02-11 03:00:00+00:00,4.18,2.25,9.2,4.22,3.4,1.6
turbine_2,2026-02-11 04:00:00+00:00,3.72,1.22,8.73,3.0,5.4,4.6
turbine_2,2026-02-11 05:00:00+00:00,5.24,0.92,10.52,2.91,6.7,5.9
turbine_2,2026-02-11 06:00:00+00:00,8.01,5.95,13.89,11.41,8.5,8.6
turbine_2,2026-02-11 07:00:00+00:00,8.86,8.1,17.28,14.23,9.5,10.0
turbine_2,2026-02-11 08:00:00+00:00,7.22,9.39,16.01,15.65,11.0,11.0
turbine_2,2026-02-11 09:00:00+00:00,6.1,8.78,12.61,14.18,9.4,10.4
turbine_2,2026-02-11 10:00:00+00:00,2.11,5.06,4.85,8.95,8.4,8.7
turbine_2,2026-02-11 11:00:00+00:00,6.13,2.2,3.63,2.44,7.4,7.5
turbine_2,2026-02-11 12:00:00+00:00,5.7,7.69,5.22,8.58,5.7,4.8
turbine_2,2026-02-11 13:00:00+00:00,7.56,3.77,9.72,7.16,4.8,5.6
turbine_2,2026-02-11 14:00:00+00:00,9.61,6.43,13.38,9.77,4.6,4.7
turbine_2,2026-02-11 15:00:00+00:00,8.43,10.0,14.32,13.49,3.5,3.5
turbine_2,2026-02-11 16:00:00+00:00,7.22,9.99,11.72,14.9,3.0,2.8
turbine_2,2026-02-11 17:00:00+00:00,5.28,9.27,9.79,14.98,3.3,2.4
turbine_2,2026-02-11 18:00:00+00:00,5.43,8.14,9.45,12.91,1.1,1.8
turbine_2,2026-02-11 19:00:00+00:00,6.08,7.6,10.48,12.83,1.3,2.2
turbine_2,2026-02-11 20:00:00+00:00,7.47,6.78,12.53,12.08,1.3,1.7
turbine_2,2026-02-11 21:00:00+00:00,6.93,7.48,11.85,12.22,1.0,0.8
turbine_2,2026-02-11 22:00:00+00:00,6.36,7.16,10.16,11.38,1.0,0.8
turbine_2,2026-02-11 23:00:00+00:00,4.92,5.7,7.34,10.12,1.2,0.9
turbine_2,2026-02-12 00:00:00+00:00,3.4,6.22,5.6,9.65,0.5,1.2
turbine_2,2026-02-12 01:00:00+00:00,3.67,5.87,5.94,9.1,0.7,0.9
turbine_2,2026-02-12 02:00:00+00:00,2.59,5.41,4.78,9.46,0.7,1.1
turbine_2,2026-02-12 03:00:00+00:00,2.73,5.2,4.02,8.83,1.0,0.5
turbine_2,2026-02-12 04:00:00+00:00,1.32,4.43,2.0,7.4,1.4,0.8
turbine_2,2026-02-12 05:00:00+00:00,1.03,4.63,1.25,7.03,1.7,1.4
turbine_2,2026-02-12 06:00:00+00:00,3.74,3.01,3.55,4.79,3.3,2.4
turbine_2,2026-02-12 07:00:00+00:00,4.36,3.04,4.66,4.74,3.8,2.7
turbine_2,2026-02-12 08:00:00+00:00,5.14,2.63,6.12,4.41,3.8,3.2
turbine_2,2026-02-12 09:00:00+00:00,5.88,2.35,7.35,3.6,4.5,3.3
turbine_2,2026-02-12 10:00:00+00:00,5.88,2.24,7.91,3.1,4.8,3.0
turbine_2,2026-02-12 11:00:00+00:00,6.41,2.1,8.25,3.21,3.8,2.4
turbine_2,2026-02-12 12:00:00+00:00,2.25,2.82,2.56,4.9,2.6,2.2
turbine_2,2026-02-12 13:00:00+00:00,2.35,4.56,4.69,6.82,1.1,1.6
turbine_2,2026-02-12 14:00:00+00:00,3.29,4.11,6.71,7.53,1.1,1.1
turbine_2,2026-02-12 15:00:00+00:00,2.7,4.66,5.02,7.89,1.1,0.8
turbine_2,2026-02-12 16:00:00+00:00,3.26,4.43,5.14,6.89,0.8,0.4
turbine_2,2026-02-12 17:00:00+00:00,2.91,3.86,4.9,6.26,0.8,0.2
turbine_2,2026-02-12 18:00:00+00:00,1.3,2.61,2.81,4.37,0.2,0.5
turbine_2,2026-02-12 19:00:00+00:00,0.95,2.72,2.2,4.46,-0.6,0.2
turbine_2,2026-02-12 20:00:00+00:00,0.58,1.81,1.1,3.23,-0.8,-0.3
turbine_2,2026-02-12 21:00:00+00:00,1.3,0.95,0.85,1.94,-1.1,-0.1
turbine_2,2026-02-12 22:00:00+00:00,2.26,1.71,2.36,1.77,-0.8,-0.3
turbine_2,2026-02-12 23:00:00+00:00,2.34,1.49,2.92,0.89,-0.8,-0.6
turbine_2,2026-02-13 00:00:00+00:00,2.78,1.3,3.02,1.1,-0.1,0.1
turbine_2,2026-02-13 01:00:00+00:00,3.32,1.33,4.08,1.21,0.3,0.1
turbine_2,2026-02-13 02:00:00+00:00,3.28,1.8,4.4,1.91,0.5,0.3
turbine_2,2026-02-13 03:00:00+00:00,2.16,2.82,3.47,2.92,0.8,0.8
turbine_2,2026-02-13 04:00:00+00:00,2.27,3.55,3.28,4.3,1.1,1.2
turbine_2,2026-02-13 05:00:00+00:00,2.3,3.4,2.47,5.01,1.4,1.6
turbine_2,2026-02-13 06:00:00+00:00,2.33,2.79,1.7,4.4,2.4,2.3
turbine_2,2026-02-13 07:00:00+00:00,1.3,2.47,0.85,3.86,1.9,2.4
turbine_2,2026-02-13 08:00:00+00:00,1.28,2.5,0.82,3.61,1.8,2.4
turbine_2,2026-02-13 09:00:00+00:00,1.2,1.63,1.7,2.66,1.6,2.4
turbine_2,2026-02-13 10:00:00+00:00,0.1,0.81,1.0,1.06,1.8,2.4
turbine_2,2026-02-13 11:00:00+00:00,0.63,0.36,0.32,0.22,2.1,2.4
turbine_2,2026-02-13 12:00:00+00:00,1.6,0.51,2.26,0.36,2.2,2.4
turbine_2,2026-02-13 13:00:00+00:00,2.09,1.1,3.55,1.25,2.0,2.3
turbine_2,2026-02-13 14:00:00+00:00,2.96,1.03,5.33,1.0,1.5,2.2
turbine_2,2026-02-13 15:00:00+00:00,3.89,1.27,6.43,1.34,1.3,2.3
